,CarMaxdesiredSpeed,TruckMaxdesiredSpeed,CarMaxAcceleration,TruckMaxAccerlation,CarNormalDeceleration,TruckNormalDeceleration,CarSensitivityFactor,TruckSensistivityFactor,CarReactionTime,TruckReactionTime,CarVehicleDemand,TruckVehicleDemand,CarGap,TruckGap,Loss,sumloss
0,127.45594613314472,89.54262303940499,2.9370555807064447,1.0174961387853716,3.998176522412153,2.9950174477347202,0.4747478345290675,0.5388915159426261,1.018308694139538,1.0847887266366465,496.45143508730956,87.36831032713914,2.14844885898611,2.110092642340981,"[0.14205574492161627, 0.011353494828867765, 4.02026034817727, 0.8363786781196512, 1.214791994635344]",6.224840260682749
1,125.47285262335558,89.65052881473004,2.9516210286015023,0.9545717061979732,3.9669938488640586,3.0247870625226674,0.48796797579096235,0.4647192129584113,0.9759460740860054,0.9939036017584699,505.6775898854782,91.78828153053593,2.162341800943641,2.074918898133683,"[0.12106376273528482, -0.0019797676425806175, 4.024272259998231, 0.8093384831549026, 1.248460558182941]",6.201155296428778
2,127.1416186737357,87.62617334662929,3.021540287886626,1.0127077085571825,4.025872071863129,2.976961367164471,0.5533621841516888,0.455067268542876,0.9665902638216324,0.951096505955574,497.86601958917527,93.76697065429497,1.8899972833397478,1.9594272517719655,"[0.12738745995612843, -0.015410420465308997, 4.112491724488999, 0.7003682498408454, 1.0292070768878838]",5.954044090708548
3,130.18315873151403,91.5691927941616,2.869756709443697,0.9603967819759568,4.0776464600769,2.9569087546093233,0.485072096086544,0.5630582302066075,1.012989647247211,1.1258139967743326,487.02352138810636,85.76028510856997,2.2221250038825056,1.9587550833874479,"[0.11540763852348843, -0.0007029891831265775, 3.540032633243719, 0.5508287168264601, 2.7000388659721053]",6.905604865382646
4,126.57470546157427,92.3994460226512,2.989035483869042,1.0824309900086688,3.9773169298151143,3.084746610362454,0.48658341190109844,0.5279151846378483,0.9809562809808996,1.119381381946473,505.4681375123213,91.33456815952024,2.3265256095723745,2.034606524169669,"[0.12282861292538454, 0.0020506218098476567, 3.291613424047526, 0.6181948133185592, 0.7837681324553705]",4.8184556045566875
5,131.38037045900847,89.06883946029278,2.9723200589137577,0.9512705216718865,3.9561450938255796,3.02776132286477,0.5076427065353383,0.455622950569087,0.9302384131479283,0.9594348945033109,505.33151146425325,93.3200649071005,1.8823055864215616,1.9130766259441012,"[0.13683867274151587, 2.4754283903977923, 3.6570261273465268, 0.5145717420312869, 1.730297282351929]",8.514162214869051
6,129.5905773956513,90.79333381312875,3.0393206064486478,0.9400722770670632,4.084308770779896,3.0005119243464065,0.4873225963839134,0.4777363883533036,0.9023840731632424,0.9610419326264183,502.1283038788385,89.1256753720562,2.012254895580774,1.8412097694281695,"[0.1146203184104207, 2.339397284313522, 3.8179913312206435, 0.5858002672720217, 2.203165049492195]",9.060974250708803
7,126.68121942890463,90.94691624808897,2.997425527098615,1.0310127522934724,3.921549665535873,3.077059186664984,0.5289105025313711,0.4673319108263937,1.0686767024935102,0.9040734858227308,505.8496400959164,85.60713654626358,2.1766101215977485,2.0452802087178266,"[0.12259625314442958, 2.212285377262133, 4.860361091746792, 0.9926737629718498, 2.413963481339344]",10.601879966464548
8,131.42335175875138,90.49496173877536,2.927134794993639,0.9135557237671199,4.0488381962827775,2.963343326700854,0.5423437645780045,0.4876682743900877,1.0667618248720496,1.0154489814209833,510.47634536506536,85.9776579590912,2.0313459989663425,1.8826820713311936,"[0.126915368987143, 2.1675030957657575, 3.646612668508116, 0.6806103673401398, 3.175413576285591]",9.797055076886748
9,125.9560292510977,89.33043724679307,2.9571518760184983,1.0337694567835922,3.957201450477902,3.0447169056431673,0.47610469889391055,0.4937074568470768,1.0347897082256605,1.0781370275793105,505.7919640272135,93.06401472248862,2.159891911337235,1.9044222929836514,"[0.12083145935241095, 2.2171840869582904, 3.857831684168216, 1.010809904209793, 1.5001340214042713]",8.706791156092983
10,129.31301127359413,91.33390964522299,2.8707800831386265,1.0540437746959448,3.882785096464486,3.0181641132221317,0.4468781832370192,0.45628754759300855,1.067950170693195,1.148466289986473,515.4022359211833,90.3812085641508,2.122703915921291,2.013832408273095,"[0.1255454986013432, 2.329883846077658, 4.040396512218619, 0.8980011510094058, 0.8386640012992708]",8.232491009206296